category_main,n,rating_avg,rating_med,pop_avg,pop_med
其他,414,4.474154589371981,4.5,1966.9323671497584,1098.0
日式,32,4.571875,4.6,3827.4375,2032.0
義式,32,4.559375,4.55,2135.75,1575.0
中式,27,4.492592592592593,4.5,1024.148148148148,803.0
咖啡廳,20,4.545,4.6,1560.2,1004.5
火鍋,18,4.594444444444445,4.6,3933.222222222222,2679.0
海鮮,12,4.3999999999999995,4.45,1215.1666666666667,1154.0
泰式,11,4.690909090909091,4.8,2052.0,2136.0
美式,11,4.627272727272727,4.7,2420.909090909091,1559.0
早午餐,7,4.514285714285714,4.6,1338.2857142857142,1472.0
燒烤/串燒,6,4.466666666666667,4.4,2187.3333333333335,1100.0
甜點/烘焙,5,4.5600000000000005,4.5,2095.8,1258.0
素食,5,4.66,4.8,725.4,545.0
